id,sugar_level,calories,weight,fat,food_color
59,146.82999999999998 gr,656 cal,1109.92 gr,23 gr,Navy Blue
60,136.06 gr,803 cal,339.75 gr,17 gr,Sunset Red
61,125.94999999999999 gr,557 cal,1490.59 gr,31 gr,Sunset Yellow
62,50.17 gr,189 cal,714.31 gr,2 gr,Purple
63,,,775.38 gr,49 gr,Green
64,18.88000000000001 gr,65 cal,778.76 gr,16 gr,Grass Green
65,83.86 gr,159 cal,882.62 gr,17 gr,Grass Green
66,27.03 gr,361 cal,1303.62 gr,33 gr,Green
67,64.10999999999999 gr,98 cal,609.22 gr,28 gr,Sunset Yellow
68,32.33 gr,159 cal,1892.83 gr,1 gr,Rose
69,128.51 gr,377 cal,580.25 gr,30 gr,Green
70,100.89 gr,443 cal,1313.29 gr,6 gr,Coffee
71,120.95 gr,550 cal,1046.79 gr,30 gr,Lemon Yellow
72,71.08000000000001 gr,315 cal,1187.75 gr,-9 gr,Grass Green
73,108.03 gr,520 cal,645.12 gr,42 gr,Lemon Yellow
74,87.80000000000001 gr,442 cal,636.77 gr,38 gr,Black
75,145.94 gr,388 cal,1254.91 gr,40 gr,Lemon Yellow
76,133.95 gr,386 cal,382.63 gr,29 gr,Rose
77,116.06 gr,632 cal,48.55 gr,28 gr,Green
78,126.39000000000001 gr,611 cal,477.43 gr,34 gr,Coffee
79,115.35 gr,542 cal,1643.72 gr,36 gr,Grass Green
80,113.17000000000002 gr,644 cal,1830.45 gr,18 gr,Black
81,115.27000000000001 gr,399 cal,1179.08 gr,45 gr,Black
82,57.72999999999999 gr,161 cal,35.06 gr,8 gr,Lemon Yellow
83,44.71000000000001 gr,395 cal,1766.87 gr,27 gr,Black
84,64.17000000000002 gr,388 cal,271.66 gr,6 gr,Sunset Yellow
85,137.49 gr,522 cal,1338.49 gr,15 gr,Rose
86,98.10000000000001 gr,106 cal,1205.71 gr,-3 gr,Navy Blue
87,76.53 gr,293 cal,789.43 gr,4 gr,Navy Blue
88,163.19 gr,418 cal,432.31 gr,22 gr,Grass Green
89,179.45999999999998 gr,742 cal,65.04 gr,11 gr,Rose
90,115.79 gr,571 cal,1071.22 gr,25 gr,Lemon Yellow
91,19.210000000000008 gr,30 cal,1471.06 gr,,Green
92,108.7 gr,701 cal,45.38 gr,24 gr,Coffee
93,63.75999999999999 gr,377 cal,1139.46 gr,7 gr,Lemon Yellow
94,105.44 gr,432 cal,1194.7 gr,35 gr,Coffee
95,129.84 gr,681 cal,144.57 gr,14 gr,Navy Blue
96,16.360000000000014 gr,245 cal,409.69 gr,29 gr,Black
97,64.74000000000001 gr,-24 cal,1473.97 gr,1 gr,Grass Green
98,18.139999999999986 gr,-30 cal,88.72 gr,1 gr,Grass Green
99,27.929999999999993 gr,404 cal,353.25 gr,15 gr,Rose
100,111.23 gr,368 cal,1744.75 gr,18 gr,Grass Green
101,71.13 gr,406 cal,1908.12 gr,8 gr,Green
102,129.63 gr,680 cal,1291.83 gr,36 gr,Sunset Red
103,77.79 gr,537 cal,1236.04 gr,36 gr,
104,66.40999999999998 gr,384 cal,1828.2 gr,11 gr,Purple
105,59.870000000000005 gr,128 cal,392.12 gr,27 gr,Coffee
106,4.1000000000000085 gr,481 cal,123.93 gr,-2 gr,Purple
107,117.98 gr,469 cal,730.94 gr,28 gr,Sunset Yellow
108,54.99000000000001 gr,265 cal,1738.3 gr,24 gr,Rose
109,31.66000000000001 gr,284 cal,1268.32 gr,9 gr,Sunset Yellow
110,147.51 gr,296 cal,887.34 gr,27 gr,Sunset Red
111,71.07 gr,328 cal,1791.76 gr,29 gr,Sunset Red
112,124.02000000000001 gr,468 cal,1219.79 gr,46 gr,Grass Green
113,73.75000000000001 gr,121 cal,1576.48 gr,6 gr,Sunset Yellow
114,56.5 gr,,403.71 gr,15 gr,Black
115,88.59 gr,347 cal,924.94 gr,-6 gr,Purple
116,50.25 gr,295 cal,808.89 gr,8 gr,Coffee
117,65.58999999999999 gr,178 cal,830.48 gr,34 gr,Green
118,84.67 gr,234 cal,161.53 gr,4 gr,Lemon Yellow
119,151.46 gr,709 cal,702.04 gr,16 gr,Lemon Yellow
120,164.68 gr,811 cal,1316.43 gr,13 gr,Coffee
121,31.769999999999996 gr,37 cal,1868.58 gr,-9 gr,Grass Green
122,48.60000000000001 gr,126 cal,1003.08 gr,15 gr,Black
123,39.74000000000001 gr,366 cal,1223.71 gr,-4 gr,Grass Green
124,111.49 gr,715 cal,,38 gr,Black
125,55.7 gr,376 cal,1701.44 gr,,Coffee
126,104.67999999999999 gr,509 cal,1822.69 gr,30 gr,Coffee
127,31.79000000000002 gr,471 cal,1725.98 gr,3 gr,Green
128,116.07 gr,393 cal,1178.12 gr,28 gr,Sunset Yellow
129,102.30000000000001 gr,461 cal,263.28 gr,-11 gr,Purple
130,68.91 gr,496 cal,381.77 gr,38 gr,Lemon Yellow
131,142.25 gr,618 cal,1464.48 gr,32 gr,Lemon Yellow
132,53.7 gr,399 cal,1347.03 gr,13 gr,Black
133,108.85999999999999 gr,,1333.99 gr,-5 gr,Lemon Yellow
134,78.28000000000002 gr,406 cal,990.79 gr,29 gr,Navy Blue
135,79.94000000000001 gr,448 cal,57.23 gr,41 gr,Coffee
136,125.53 gr,48 cal,53.06 gr,36 gr,Rose
137,48.72999999999999 gr,107 cal,128.82 gr,4 gr,Green
138,10.829999999999998 gr,59 cal,1642.47 gr,24 gr,Navy Blue
139,111.63 gr,377 cal,838.17 gr,32 gr,Sunset Yellow
140,110.27 gr,,916.22 gr,25 gr,Navy Blue
141,146.33 gr,780 cal,454.54 gr,34 gr,Coffee
142,155.45999999999998 gr,566 cal,1046.76 gr,26 gr,Sunset Red
143,103.09 gr,551 cal,578.89 gr,41 gr,Grass Green
144,76.98 gr,197 cal,1142.88 gr,8 gr,Sunset Yellow
145,109.57 gr,145 cal,1011.69 gr,18 gr,Black
146,34.94 gr,359 cal,582.11 gr,16 gr,Rose
147,,121 cal,540.52 gr,-5 gr,Grass Green
148,65.52999999999999 gr,171 cal,147.96 gr,,Rose
149,85.67 gr,512 cal,1369.78 gr,36 gr,Coffee
150,106.99 gr,420 cal,1732.21 gr,6 gr,Black
151,154.8 gr,787 cal,1903.08 gr,28 gr,Sunset Yellow
152,150.95 gr,473 cal,922.07 gr,26 gr,Sunset Yellow
153,13.070000000000007 gr,447 cal,1305.38 gr,16 gr,Sunset Yellow
154,146.4 gr,687 cal,664.3 gr,32 gr,Sunset Yellow
155,9.540000000000006 gr,443 cal,126.5 gr,15 gr,Navy Blue
156,75.00999999999999 gr,76 cal,1099.65 gr,30 gr,Sunset Red
157,148.98000000000002 gr,346 cal,1720.98 gr,30 gr,Green
158,17.450000000000003 gr,62 cal,1015.3 gr,18 gr,Green
159,81.74000000000001 gr,341 cal,1044.62 gr,34 gr,Grass Green
160,58.14 gr,450 cal,1424.87 gr,24 gr,Purple
161,55.31 gr,189 cal,394.19 gr,3 gr,Lemon Yellow
162,60.389999999999986 gr,26 cal,146.56 gr,7 gr,Coffee
163,147.32999999999998 gr,526 cal,538.1 gr,38 gr,Lemon Yellow
164,40.21000000000001 gr,261 cal,1730.39 gr,41 gr,Purple
165,117.95 gr,651 cal,1891.02 gr,35 gr,Black
166,112.5 gr,674 cal,640.87 gr,37 gr,Rose
167,82.00999999999999 gr,339 cal,1238.88 gr,-3 gr,Lemon Yellow
168,-1.789999999999992 gr,395 cal,500.25 gr,9 gr,Rose
169,61.24000000000001 gr,139 cal,1638.86 gr,11 gr,
170,155.28 gr,610 cal,601.3 gr,41 gr,
171,87.49 gr,379 cal,897.46 gr,37 gr,Black
172,120.83999999999999 gr,515 cal,868.8 gr,32 gr,Black
173,52.58999999999999 gr,249 cal,323.04 gr,23 gr,Navy Blue
174,52.2 gr,418 cal,286.91 gr,29 gr,Green
175,47.96000000000001 gr,267 cal,1912.53 gr,-13 gr,Black
176,105.89 gr,493 cal,1343.35 gr,31 gr,Coffee
177,115.76 gr,250 cal,1870.07 gr,21 gr,Rose
178,126.91 gr,536 cal,1501.89 gr,38 gr,Navy Blue
179,121.05 gr,401 cal,220.47 gr,31 gr,Black
180,156.22 gr,402 cal,95.86 gr,,Green
181,126.69 gr,635 cal,979.89 gr,31 gr,Sunset Yellow
182,127.97999999999999 gr,496 cal,879.8 gr,39 gr,Green
183,131.98000000000002 gr,336 cal,1906.97 gr,25 gr,Sunset Red
184,110.54 gr,95 cal,887.64 gr,18 gr,Rose
185,106.58 gr,583 cal,1100.23 gr,37 gr,Black
186,132.01 gr,505 cal,609.26 gr,23 gr,Navy Blue
187,-22.929999999999993 gr,274 cal,1056.73 gr,5 gr,Green
188,96.05000000000001 gr,41 cal,1360.94 gr,-12 gr,Lemon Yellow
189,94.49 gr,439 cal,1747.3 gr,4 gr,Sunset Yellow
190,37.709999999999994 gr,164 cal,1280.55 gr,29 gr,Purple
191,46.45 gr,442 cal,708.81 gr,28 gr,Green
192,33.85000000000001 gr,280 cal,1685.36 gr,40 gr,Black
193,98.02000000000001 gr,604 cal,654.38 gr,31 gr,Coffee
194,125.47 gr,340 cal,339.84 gr,41 gr,Grass Green
195,89.46000000000001 gr,326 cal,1338.19 gr,23 gr,Black
196,111.74000000000001 gr,644 cal,409.21 gr,32 gr,Navy Blue
197,103.49999999999999 gr,29 cal,1311.41 gr,24 gr,Coffee
198,105.22 gr,496 cal,1858.19 gr,37 gr,Sunset Red
199,66.38 gr,,499.54 gr,41 gr,Sunset Red
200,86.38 gr,528 cal,1385.05 gr,38 gr,Black
201,130.82 gr,498 cal,1230.85 gr,26 gr,Black
202,2.3100000000000023 gr,381 cal,1297.12 gr,16 gr,Grass Green
203,67.77000000000001 gr,75 cal,399.34 gr,3 gr,Coffee
204,54.730000000000004 gr,182 cal,479.04 gr,22 gr,Navy Blue
205,91.55 gr,117 cal,1993.44 gr,30 gr,Sunset Red
206,150.07999999999998 gr,702 cal,64.06 gr,25 gr,Black
207,81.33000000000001 gr,153 cal,1451.87 gr,29 gr,Green
208,54.11 gr,,74.83 gr,30 gr,Green
209,133.43 gr,641 cal,261.18 gr,34 gr,Navy Blue
210,-8.079999999999998 gr,364 cal,1937.76 gr,18 gr,Navy Blue
211,111.47 gr,511 cal,1684.5 gr,46 gr,Navy Blue
212,36.959999999999994 gr,71 cal,864.51 gr,5 gr,Sunset Yellow
213,22.499999999999986 gr,82 cal,97.63 gr,29 gr,Black
214,117.09 gr,389 cal,842.78 gr,18 gr,Rose
215,91.25 gr,807 cal,,35 gr,Sunset Red
216,116.53 gr,448 cal,614.16 gr,37 gr,Green
217,79.24000000000001 gr,707 cal,282.02 gr,21 gr,Purple
218,-6.659999999999997 gr,493 cal,1855.18 gr,18 gr,Grass Green
219,141.41 gr,589 cal,831.95 gr,18 gr,Navy Blue
220,35.2 gr,382 cal,1165.93 gr,-2 gr,Navy Blue
221,88.64999999999999 gr,549 cal,1387.59 gr,45 gr,Grass Green
222,121.93 gr,409 cal,1928.47 gr,18 gr,Lemon Yellow
223,58.94000000000001 gr,299 cal,1365.66 gr,4 gr,Lemon Yellow
224,70.62 gr,103 cal,1820.54 gr,30 gr,Navy Blue
225,49.33 gr,-4 cal,562.42 gr,20 gr,
226,45.83000000000001 gr,436 cal,426.43 gr,-3 gr,Sunset Yellow
227,152.26 gr,656 cal,1178.02 gr,19 gr,Green
228,51.32000000000001 gr,239 cal,433.39 gr,14 gr,Sunset Red
229,66.12 gr,220 cal,676.53 gr,14 gr,Sunset Red
230,79.92 gr,271 cal,1671.35 gr,3 gr,Purple
231,19.62999999999998 gr,93 cal,1326.83 gr,12 gr,Sunset Red
232,46.150000000000006 gr,320 cal,1459.06 gr,14 gr,Purple
233,77.0 gr,672 cal,1046.75 gr,42 gr,Black
234,161.16 gr,686 cal,1010.56 gr,38 gr,Coffee
235,70.85000000000001 gr,769 cal,1302.86 gr,17 gr,Black
236,35.94 gr,265 cal,843.53 gr,11 gr,Sunset Red
237,102.69999999999999 gr,642 cal,1958.33 gr,27 gr,Sunset Red
238,100.9 gr,645 cal,800.56 gr,26 gr,Black
239,133.95999999999998 gr,,925.23 gr,30 gr,Green
240,17.489999999999995 gr,-20 cal,477.29 gr,30 gr,Coffee
241,97.03 gr,444 cal,1560.63 gr,19 gr,Grass Green
242,99.65 gr,324 cal,1602.12 gr,17 gr,Purple
243,12.659999999999997 gr,144 cal,1066.13 gr,24 gr,Sunset Yellow
244,55.859999999999985 gr,367 cal,470.15 gr,28 gr,Green
245,64.95 gr,727 cal,1252.32 gr,27 gr,Rose
246,109.71000000000001 gr,725 cal,1145.01 gr,32 gr,Lemon Yellow
247,-2.299999999999997 gr,121 cal,1278.61 gr,10 gr,Purple
248,36.209999999999994 gr,123 cal,269.59 gr,18 gr,Navy Blue
249,40.42 gr,139 cal,22.04 gr,31 gr,Sunset Yellow
250,64.34 gr,292 cal,872.19 gr,10 gr,Sunset Yellow
251,115.53000000000002 gr,229 cal,1043.26 gr,10 gr,Coffee
252,62.219999999999985 gr,341 cal,1231.22 gr,13 gr,Coffee
253,65.78999999999999 gr,510 cal,1949.99 gr,12 gr,Black
254,82.97 gr,96 cal,1581.96 gr,32 gr,Coffee
255,99.22 gr,439 cal,167.7 gr,38 gr,Navy Blue
256,66.15 gr,505 cal,1525.47 gr,22 gr,Navy Blue
257,133.67000000000002 gr,524 cal,1279.01 gr,35 gr,Sunset Yellow
258,154.42000000000002 gr,521 cal,174.07 gr,37 gr,Purple
259,115.82 gr,710 cal,1425.36 gr,33 gr,Coffee
260,98.98 gr,314 cal,27.29 gr,17 gr,Green
261,155.82 gr,542 cal,499.26 gr,28 gr,Coffee
262,128.22 gr,353 cal,1970.38 gr,21 gr,Sunset Yellow
263,113.89999999999999 gr,153 cal,1513.45 gr,25 gr,Black
264,,443 cal,1447.51 gr,12 gr,Lemon Yellow
265,27.900000000000006 gr,465 cal,1564.98 gr,7 gr,Rose
266,102.8 gr,318 cal,1713.07 gr,26 gr,Rose
267,57.14 gr,128 cal,1231.59 gr,13 gr,Black
268,28.340000000000003 gr,143 cal,1551.65 gr,13 gr,Lemon Yellow
269,134.43 gr,676 cal,623.52 gr,22 gr,Coffee
270,88.9 gr,84 cal,20.78 gr,5 gr,Rose
271,16.120000000000005 gr,303 cal,720.51 gr,29 gr,Lemon Yellow
272,93.99000000000001 gr,392 cal,1569.36 gr,38 gr,Sunset Red
273,165.97 gr,425 cal,351.33 gr,41 gr,Lemon Yellow
274,12.829999999999998 gr,73 cal,638.43 gr,-4 gr,Sunset Red
275,75.65 gr,73 cal,1062.28 gr,21 gr,Sunset Yellow
276,123.56 gr,598 cal,1565.17 gr,31 gr,Coffee
277,107.75999999999999 gr,598 cal,1602.19 gr,42 gr,Lemon Yellow
278,151.94 gr,385 cal,1792.53 gr,35 gr,Green
279,54.76999999999998 gr,,671.95 gr,11 gr,Sunset Yellow
280,106.44999999999999 gr,369 cal,1029.81 gr,28 gr,Rose
281,104.52000000000001 gr,494 cal,423.65 gr,19 gr,Sunset Red
282,126.62 gr,492 cal,525.96 gr,21 gr,Rose
283,60.76999999999998 gr,119 cal,462.69 gr,1 gr,Lemon Yellow
284,-10.320000000000007 gr,38 cal,336.42 gr,0 gr,Navy Blue
285,62.230000000000004 gr,415 cal,730.52 gr,18 gr,Black
286,164.99 gr,382 cal,1989.66 gr,28 gr,Black
287,129.63 gr,347 cal,1275.12 gr,38 gr,Purple
288,107.86 gr,56 cal,1842.53 gr,23 gr,Green
289,36.30000000000001 gr,500 cal,616.34 gr,19 gr,Sunset Yellow
290,150.01999999999998 gr,735 cal,1599.24 gr,32 gr,Green
291,98.28999999999999 gr,399 cal,886.62 gr,32 gr,Black
292,93.39999999999999 gr,599 cal,321.97 gr,36 gr,Green
293,-8.179999999999993 gr,189 cal,1699.68 gr,11 gr,Lemon Yellow
294,179.2 gr,503 cal,368.04 gr,24 gr,Sunset Red
295,164.95 gr,450 cal,146.68 gr,35 gr,Coffee
296,24.409999999999997 gr,380 cal,1319.28 gr,12 gr,Sunset Red
297,153.14000000000001 gr,467 cal,1132.23 gr,37 gr,Grass Green
298,98.24999999999999 gr,428 cal,1066.4 gr,23 gr,Green
299,108.53 gr,381 cal,854.9 gr,6 gr,Green
300,147.38 gr,368 cal,1661.15 gr,45 gr,Sunset Red
301,89.11000000000001 gr,28 cal,1177.14 gr,-7 gr,Coffee
302,167.09 gr,591 cal,252.12 gr,28 gr,Coffee
303,111.47 gr,389 cal,852.53 gr,37 gr,Rose
304,61.579999999999984 gr,8 cal,79.44 gr,14 gr,Lemon Yellow
305,155.67000000000002 gr,400 cal,1253.35 gr,20 gr,Lemon Yellow
306,115.6 gr,699 cal,1739.46 gr,38 gr,Sunset Yellow
307,123.28 gr,172 cal,695.88 gr,10 gr,Sunset Red
308,132.14 gr,404 cal,1521.26 gr,35 gr,Grass Green
309,98.13999999999999 gr,635 cal,1750.32 gr,19 gr,Sunset Yellow
310,150.01999999999998 gr,423 cal,373.61 gr,30 gr,Grass Green
311,133.11 gr,545 cal,1283.54 gr,16 gr,Sunset Red
312,62.719999999999985 gr,358 cal,1266.01 gr,30 gr,Black
313,63.349999999999994 gr,136 cal,567.24 gr,17 gr,Purple
314,-0.3200000000000074 gr,257 cal,1175.76 gr,4 gr,Lemon Yellow
315,100.42999999999999 gr,481 cal,116.53 gr,13 gr,Rose
316,45.05000000000001 gr,32 cal,588.82 gr,0 gr,Coffee
317,43.099999999999994 gr,121 cal,1065.34 gr,,Coffee
318,183.35 gr,542 cal,1652.91 gr,42 gr,Black
319,92.62 gr,610 cal,140.54 gr,26 gr,Navy Blue
320,2.280000000000001 gr,229 cal,138.19 gr,25 gr,Sunset Yellow
321,71.94999999999999 gr,369 cal,1916.51 gr,22 gr,Sunset Yellow
322,75.71000000000001 gr,664 cal,109.52 gr,26 gr,Purple
323,114.58000000000001 gr,722 cal,1037.25 gr,15 gr,Green
324,96.18999999999998 gr,318 cal,1980.67 gr,24 gr,Sunset Yellow
325,71.46000000000001 gr,505 cal,403.89 gr,30 gr,Black
326,40.5 gr,324 cal,625.47 gr,,Rose
327,123.37 gr,397 cal,1792.26 gr,39 gr,Black
328,22.459999999999994 gr,223 cal,1061.91 gr,7 gr,Sunset Yellow
329,173.12 gr,660 cal,1215.81 gr,33 gr,Purple
330,55.360000000000014 gr,476 cal,604.46 gr,17 gr,Lemon Yellow
331,118.4 gr,307 cal,1204.6 gr,13 gr,Sunset Yellow
332,89.38999999999999 gr,118 cal,1174.99 gr,8 gr,Purple
333,65.6 gr,67 cal,432.15 gr,24 gr,Green
334,102.05000000000001 gr,460 cal,1029.56 gr,23 gr,Rose
335,78.39999999999999 gr,,459.05 gr,3 gr,Purple
336,,527 cal,1224.71 gr,24 gr,Rose
337,37.620000000000005 gr,221 cal,1039.83 gr,16 gr,Navy Blue
338,77.49 gr,666 cal,1425.52 gr,30 gr,Black
339,86.93 gr,480 cal,1355.72 gr,10 gr,Black
340,55.85000000000001 gr,212 cal,1301.44 gr,-9 gr,Sunset Red
341,127.88000000000001 gr,261 cal,89.03 gr,27 gr,Sunset Yellow
342,46.14 gr,90 cal,138.92 gr,36 gr,Green
343,81.93 gr,545 cal,1449.3 gr,35 gr,Lemon Yellow
344,40.109999999999985 gr,187 cal,686.42 gr,12 gr,Grass Green
345,-12.019999999999996 gr,459 cal,66.41 gr,12 gr,Navy Blue
346,46.86 gr,390 cal,275.09 gr,25 gr,Lemon Yellow
347,161.23000000000002 gr,699 cal,1603.21 gr,29 gr,Black
348,85.19999999999999 gr,212 cal,1779.83 gr,2 gr,Navy Blue
349,138.18 gr,319 cal,1510.79 gr,28 gr,Rose
350,33.14 gr,161 cal,622.94 gr,10 gr,Sunset Yellow
351,149.72 gr,457 cal,722.02 gr,16 gr,Lemon Yellow
352,42.66999999999999 gr,353 cal,1297.08 gr,0 gr,Black
353,107.21 gr,351 cal,797.1 gr,40 gr,Grass Green
354,2.410000000000011 gr,397 cal,874.88 gr,-12 gr,Navy Blue
355,26.909999999999997 gr,141 cal,980.13 gr,-12 gr,Lemon Yellow
356,110.32 gr,437 cal,1905.45 gr,47 gr,Navy Blue
357,127.14 gr,573 cal,756.16 gr,24 gr,Black
358,126.47 gr,558 cal,845.8 gr,36 gr,Green
359,114.97 gr,465 cal,951.06 gr,31 gr,Grass Green
360,37.83 gr,372 cal,1329.11 gr,33 gr,Navy Blue
361,58.10000000000001 gr,268 cal,382.23 gr,35 gr,Purple
362,60.46000000000001 gr,275 cal,976.93 gr,2 gr,Coffee
363,79.07000000000001 gr,714 cal,902.73 gr,33 gr,Sunset Yellow
364,47.849999999999994 gr,471 cal,1811.87 gr,30 gr,Rose
365,102.09 gr,694 cal,1899.85 gr,13 gr,Navy Blue
366,10.269999999999996 gr,288 cal,485.11 gr,0 gr,Grass Green
367,-7.780000000000001 gr,290 cal,1425.94 gr,16 gr,Navy Blue
368,,664 cal,96.93 gr,40 gr,Rose
369,-16.040000000000006 gr,338 cal,50.51 gr,-10 gr,Rose
370,135.28 gr,379 cal,999.04 gr,32 gr,Navy Blue
371,117.97999999999999 gr,367 cal,106.61 gr,27 gr,Black
372,99.25 gr,289 cal,238.73 gr,45 gr,Coffee
373,1.4899999999999949 gr,78 cal,1116.1 gr,34 gr,Green
374,40.22999999999999 gr,415 cal,859.57 gr,2 gr,Grass Green
375,107.94999999999999 gr,456 cal,,34 gr,Lemon Yellow
376,67.79000000000002 gr,56 cal,1250.44 gr,6 gr,Grass Green
377,73.24 gr,605 cal,1856.95 gr,39 gr,Coffee
378,155.71 gr,357 cal,891.19 gr,20 gr,Grass Green
379,81.9 gr,300 cal,924.7 gr,27 gr,Sunset Red
380,82.09 gr,275 cal,1029.93 gr,12 gr,Sunset Red
381,132.88 gr,619 cal,151.03 gr,30 gr,Purple
382,107.88 gr,584 cal,710.26 gr,19 gr,Coffee
383,90.0 gr,160 cal,779.62 gr,11 gr,Sunset Red
384,3.780000000000001 gr,110 cal,522.32 gr,7 gr,Sunset Yellow
385,46.28 gr,265 cal,1184.15 gr,29 gr,Navy Blue
386,21.730000000000004 gr,494 cal,866.78 gr,15 gr,Purple
387,139.77 gr,490 cal,126.17 gr,26 gr,Purple
388,90.83 gr,270 cal,1300.06 gr,37 gr,Grass Green
389,127.18 gr,553 cal,1476.7 gr,44 gr,Purple
390,150.21 gr,615 cal,,21 gr,Black
391,69.84 gr,499 cal,342.47 gr,-6 gr,Rose
392,38.78 gr,-7 cal,1124.77 gr,13 gr,Sunset Red
393,101.42 gr,684 cal,24.39 gr,37 gr,Sunset Red
394,55.58 gr,479 cal,1368.49 gr,29 gr,
395,70.06 gr,517 cal,1553.85 gr,34 gr,Lemon Yellow
396,143.09 gr,560 cal,1299.02 gr,32 gr,Green
397,151.53 gr,687 cal,1657.8 gr,12 gr,Navy Blue
398,94.62 gr,758 cal,1969.09 gr,27 gr,Sunset Red
399,113.84 gr,498 cal,1749.54 gr,31 gr,Green
400,97.59 gr,492 cal,1717.75 gr,31 gr,Purple
401,151.06 gr,350 cal,830.41 gr,37 gr,Navy Blue
402,35.040000000000006 gr,277 cal,225.17 gr,22 gr,Grass Green
403,62.09000000000002 gr,473 cal,1780.16 gr,21 gr,Coffee
404,154.97 gr,671 cal,448.83 gr,16 gr,Black
405,115.08000000000001 gr,655 cal,1818.68 gr,35 gr,Coffee
406,6.75 gr,310 cal,504.32 gr,21 gr,Green
407,114.88 gr,479 cal,390.04 gr,15 gr,Purple
408,99.82 gr,102 cal,84.36 gr,8 gr,Sunset Red
409,51.2 gr,264 cal,439.64 gr,39 gr,Grass Green
410,134.89 gr,530 cal,1136.25 gr,44 gr,Rose
411,131.43 gr,417 cal,1069.94 gr,30 gr,Navy Blue
412,58.30999999999999 gr,280 cal,549.48 gr,21 gr,Green
